danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
0.434,0.897,11,-4.845,0,0.0695,0.0124,4.22e-05,0.0772,0.376,135.54,02dphTJYUQ9pmdNC52iyOz,spotify:track:02dphTJYUQ9pmdNC52iyOz,296751,4,1,Fiesta Pagana,"['celtic metal', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",Mägo de Oz
0.491,0.877,7,-3.758,1,0.0425,0.000259,0.0,0.0876,0.819,138.31,19vhfSUgVJO2enJ6XidUGO,spotify:track:19vhfSUgVJO2enJ6XidUGO,251681,4,1,Molinos De Viento,"['celtic metal', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",Mägo de Oz
0.449,0.535,1,-7.209,0,0.0338,0.677,8.25e-06,0.0622,0.607,179.113,1HnAG3hNXZzxvzVyw1U8Yy,spotify:track:1HnAG3hNXZzxvzVyw1U8Yy,265733,3,1,Hijo de la Luna,"['latin', 'latin pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']",Mecano
0.555,0.738,4,-4.21,1,0.0278,0.0277,0.0,0.23,0.342,98.977,5ZiS5hUYAL3ufYEwgxy2lV,spotify:track:5ZiS5hUYAL3ufYEwgxy2lV,204947,4,1,Rebelde Agitador y Revolucionario,"['argentine rock', 'cumbia pop', 'cumbia villera', 'latin alternative', 'rock en espanol']",Callejeros
0.472,0.906,4,-3.597,1,0.0578,0.0174,0.0,0.246,0.646,156.866,4UkYrJDJA31eZi7L2W4okp,spotify:track:4UkYrJDJA31eZi7L2W4okp,267200,4,1,Sé Que No Sé,"['argentine rock', 'cumbia pop', 'cumbia villera', 'latin alternative', 'rock en espanol']",Callejeros
0.321,0.85,9,-3.698,0,0.0429,0.155,0.0,0.285,0.828,184.265,3rDohzvW3Z1QqvqQwvAmbS,spotify:track:3rDohzvW3Z1QqvqQwvAmbS,212867,4,1,Algo Mejor Algo Peor,"['argentine rock', 'cumbia pop', 'cumbia villera', 'latin alternative', 'rock en espanol']",Callejeros
0.4,0.379,7,-10.591,0,0.0265,0.822,0.0357,0.135,0.375,94.257,1oaPnvUccVzyjsKFkuE7oA,spotify:track:1oaPnvUccVzyjsKFkuE7oA,193133,4,1,Soy rebelde,['latin pop'],Jeanette
0.781,0.854,9,-4.918,0,0.0564,0.0839,0.0,0.078,0.845,132.081,6MIulZ9FG6Td02EpvFC5ZL,spotify:track:6MIulZ9FG6Td02EpvFC5ZL,179583,4,1,Soy Sabalero,"['cumbia pop', 'cumbia santafesina', 'cumbia villera']",Los Palmeras
0.779,0.952,9,-2.475,1,0.05,0.0976,0.0,0.0404,0.879,154.938,0d79UTYV7bqvZ3EVZjcr07,spotify:track:0d79UTYV7bqvZ3EVZjcr07,229251,4,1,Dale Vieja Dale,"['cuarteto', 'cumbia pop']",Ulises Bueno
0.614,0.702,0,-10.145,1,0.0316,0.0759,0.0,0.297,0.851,147.98,6jDx3MNG0yJdrvEBZohKBE,spotify:track:6jDx3MNG0yJdrvEBZohKBE,354627,4,1,Ocho Cuarenta,"['argentine rock', 'cuarteto', 'cumbia pop', 'cumbia villera', 'rock en espanol']",Rodrigo
