,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
40,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,120,Hermetica
41,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.10400000000000001,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,122,Hermetica
42,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,3,Hermetica
43,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,7,Hermetica
44,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,10,Hermetica
45,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,76,Hermetica
46,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,120,Hermetica
47,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.32799999999999996,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,122,Hermetica
48,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,3,Almafuerte
49,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,7,Almafuerte
50,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,10,Almafuerte
51,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,71,Almafuerte
52,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,76,Almafuerte
53,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,120,Almafuerte
54,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.96799999999999,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,122,Almafuerte
55,0.28800000000000003,0.982,2,-4.81,1,0.10300000000000001,0.00599,0.00031800000000000003,0.688,0.408,90.765,2zumIZU09Iz2eGRJ5UXHms,spotify:track:2zumIZU09Iz2eGRJ5UXHms,316413,4,1,Deseando Destruir y Matar,3,V8
56,0.28800000000000003,0.982,2,-4.81,1,0.10300000000000001,0.00599,0.00031800000000000003,0.688,0.408,90.765,2zumIZU09Iz2eGRJ5UXHms,spotify:track:2zumIZU09Iz2eGRJ5UXHms,316413,4,1,Deseando Destruir y Matar,7,V8
57,0.28800000000000003,0.982,2,-4.81,1,0.10300000000000001,0.00599,0.00031800000000000003,0.688,0.408,90.765,2zumIZU09Iz2eGRJ5UXHms,spotify:track:2zumIZU09Iz2eGRJ5UXHms,316413,4,1,Deseando Destruir y Matar,76,V8
58,0.467,0.8909999999999999,11,-6.931,1,0.0596,3.69e-05,0.0,0.177,0.521,110.228,2lkEfig7F9vg1MALElBd0z,spotify:track:2lkEfig7F9vg1MALElBd0z,257267,4,1,Nido De Almas,3,Malon
59,0.467,0.8909999999999999,11,-6.931,1,0.0596,3.69e-05,0.0,0.177,0.521,110.228,2lkEfig7F9vg1MALElBd0z,spotify:track:2lkEfig7F9vg1MALElBd0z,257267,4,1,Nido De Almas,7,Malon
60,0.467,0.8909999999999999,11,-6.931,1,0.0596,3.69e-05,0.0,0.177,0.521,110.228,2lkEfig7F9vg1MALElBd0z,spotify:track:2lkEfig7F9vg1MALElBd0z,257267,4,1,Nido De Almas,10,Malon
61,0.467,0.8909999999999999,11,-6.931,1,0.0596,3.69e-05,0.0,0.177,0.521,110.228,2lkEfig7F9vg1MALElBd0z,spotify:track:2lkEfig7F9vg1MALElBd0z,257267,4,1,Nido De Almas,76,Malon
62,0.475,0.8640000000000001,2,-7.319,1,0.0428,5.75e-06,0.00075,0.0861,0.645,109.01700000000001,7cpCGXoItO3OGKyIQXAmBA,spotify:track:7cpCGXoItO3OGKyIQXAmBA,215587,4,1,Malon Mestizo,3,Malon
63,0.475,0.8640000000000001,2,-7.319,1,0.0428,5.75e-06,0.00075,0.0861,0.645,109.01700000000001,7cpCGXoItO3OGKyIQXAmBA,spotify:track:7cpCGXoItO3OGKyIQXAmBA,215587,4,1,Malon Mestizo,7,Malon
