,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
50,0.674,0.11599999999999999,9,-15.115,0,0.0888,0.982,0.00457,0.258,68.862,169173,3,Que Cruz La Que Lleva El Viento,Jose Larralde,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
51,0.805,0.45399999999999996,0,-9.231,1,0.0416,0.8370000000000001,0.0,0.866,87.029,191547,4,El Porque,Jose Larralde,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
52,0.531,0.27699999999999997,2,-12.523,0,0.0565,0.937,0.000672,0.557,86.33200000000001,158133,4,Quien Me Enseño,Jose Larralde,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
53,0.581,0.413,5,-8.024,0,0.0401,0.9540000000000001,0.000294,0.441,133.64600000000002,203613,4,Si Se Calla El Cantor,Horacio Guarany,folklore argentino,0.5047000050544739,0.5047000050544739,0.5047
54,0.7020000000000001,0.778,7,-7.931,1,0.0314,0.0997,0.0,0.932,145.93200000000002,228173,4,Lo mejor del amor,Rodrigo,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
55,0.6679999999999999,0.867,8,-4.281000000000001,1,0.106,0.512,0.0,0.669,79.048,224453,4,La Cabaña,La K'onga,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
56,0.765,0.754,0,-7.224,0,0.0878,0.183,0.0,0.94,152.023,223027,4,Llegó Tu Papi,Sabroso,cuarteto,0.6230000257492065,0.00039999998989515007,0.4274
57,0.716,0.904,11,-3.312,0,0.142,0.228,4.22e-05,0.795,139.942,189067,4,"Movidito, Movidito",Sebastian,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
58,0.504,0.6920000000000001,9,-4.595,0,0.0506,0.22899999999999998,0.0,0.384,176.03900000000002,168840,3,La Ley Y La Trampa,Chaqueño Palavecino,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
59,0.34600000000000003,0.89,0,-4.388,0,0.0429,0.11599999999999999,0.000133,0.635,135.11,296400,4,Testigo,Combo Chimbita,latintronica,0.9750000238418579,0.0007999999797903001,0.4726
60,0.373,0.588,4,-10.385,0,0.0759,0.0333,0.0264,0.365,149.084,336133,4,No Regreso,Combo Chimbita,latintronica,0.5047000050544739,0.5047000050544739,0.5047
61,0.672,0.45299999999999996,11,-7.896,0,0.0557,0.26899999999999996,2.44e-06,0.674,83.12299999999999,267827,4,Cómo Te Voy A Olvidar,Los Ángeles Azules,grupera,0.7319999933242798,0.01679999940097332,0.4502
62,0.7859999999999999,0.604,0,-7.608,0,0.0413,0.221,0.0166,0.81,97.461,209507,4,Más Que Tu Amigo,Marco Antonio Solís,latin,0.5175999999046326,0.36959999799728394,0.4944
63,0.83,0.868,7,-3.78,1,0.0585,0.19699999999999998,1.29e-06,0.898,87.42200000000001,244653,4,Que Calor,Supermerk2,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
64,0.772,0.8059999999999999,0,-5.308,1,0.0668,0.21899999999999997,1.7800000000000002e-05,0.765,134.98,212062,3,Una Calle Nos Separa,Nestor En Bloque,cumbia villera,0.5058000087738037,0.0013000000035390258,0.454
65,0.6709999999999999,0.807,7,-5.5329999999999995,0,0.0691,0.228,0.0,0.9309999999999999,180.554,177667,4,Cumbia Sobre el Mar,Los Palmeras,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
66,0.588,0.888,11,-5.172000000000001,1,0.05,0.158,0.0115,0.585,100.955,200867,4,Juegos de Seducción,Soda Stereo,argentine rock,0.8392000198364258,0.026499999687075615,0.4852
67,0.774,0.615,2,-7.614,0,0.0314,0.18100000000000002,0.0107,0.703,136.851,273307,4,Pronta Entrega,Virus,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
68,0.713,0.682,9,-8.649,0,0.0784,0.18,0.0258,0.252,177.31400000000002,316427,4,Luna de Miel en la Mano,Virus,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
