,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name,most_common_genre
1069,0.486,0.95,10,-7.315,0,0.104,2.36e-05,4.38e-06,0.296,0.196,145.15,4SjIqn9qAX1QkWje1XHke6,spotify:track:4SjIqn9qAX1QkWje1XHke6,157427,4,1,Buitres,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1070,0.609,0.439,11,-10.887,0,0.0926,0.402,0.0,0.157,0.481,94.487,3i1jd6xELDqMiqv35ab12n,spotify:track:3i1jd6xELDqMiqv35ab12n,183840,3,1,Zamba de Resurreccion,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte,argentine rock
1071,0.295,0.447,4,-11.852,0,0.032,0.00116,0.0,0.0775,0.267,90.152,2El4q5wk5Z5WN3vRTfsKvd,spotify:track:2El4q5wk5Z5WN3vRTfsKvd,241400,4,1,Olvidalo y Volvera por Más,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1072,0.313,0.951,11,-6.981,0,0.113,0.000267,0.236,0.962,0.332,73.595,2hyW6Rf6Y6qSby0BxTpoLU,spotify:track:2hyW6Rf6Y6qSby0BxTpoLU,144200,4,1,De los Pagos del Tiempo,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1073,0.364,0.821,0,-12.724,1,0.0517,0.000213,0.00315,0.942,0.207,151.362,7pZeilHiviEcN6reQk24Ft,spotify:track:7pZeilHiviEcN6reQk24Ft,169640,5,1,Si Se Calla el Cantor,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1074,0.463,0.709,2,-10.57,1,0.0285,0.000243,7.56e-06,0.0872,0.666,97.294,2aY0F4Q3giKRaoJu1uxnZB,spotify:track:2aY0F4Q3giKRaoJu1uxnZB,221200,4,1,Buscando Razón,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1075,0.609,0.648,9,-13.553,0,0.235,0.801,3.22e-06,0.0876,0.533,62.85,2fRg3gmtc3kZGci4WhKGGd,spotify:track:2fRg3gmtc3kZGci4WhKGGd,168867,4,1,Moraleja,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1076,0.445,0.464,11,-13.632,0,0.026,0.000152,0.0344,0.0633,0.282,80.818,40snv6dSvwiqaJ9B9bJ1sr,spotify:track:40snv6dSvwiqaJ9B9bJ1sr,288733,4,1,Cuando Duerma la Ciudad,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1077,0.372,0.83,7,-10.068,1,0.0436,0.00011,4.06e-06,0.077,0.695,110.905,6q8EF1C7ZzNOpgNye7ycvh,spotify:track:6q8EF1C7ZzNOpgNye7ycvh,190067,4,1,Soy de la Esquina,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica,argentine rock
1078,0.723,0.833,9,-4.677,0,0.0334,0.396,7.23e-06,0.176,0.925,95.008,1WKMdjbER963jNYHB3Jrfg,spotify:track:1WKMdjbER963jNYHB3Jrfg,208067,4,11,Amores Como el Nuestro,"['chamame', 'cumbia villera']",Daniel Cardozo,cumbia villera
1079,0.751,0.675,8,-5.266,1,0.082,0.191,0.00654,0.0549,0.603,83.209,3GUMMzUB7Kk0BSqxEDyieS,spotify:track:3GUMMzUB7Kk0BSqxEDyieS,263315,4,1,Se Te Ve la Tanga,['cumbia villera'],Damas Gratis,cumbia villera
